Province,Station,Category,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,Population,Area,Density,Total_Crime,Crime_Rate_per_100k,Hotspot_Label,Hotspot,Date
Northern Cape,Galeshewe,Assault With The Intent To Inflict Grievous Bodily Harm,1683.0,1532.0,1415.0,1108.0,1009.0,9.0,772.0,813.0,712.0,859.0,704.0,,,,10616.0,,1,1,2021-03-01
Kwazulu/Natal,Phoenix,All Theft Not Mentioned Elsewhere,1680.0,1396.0,1553.0,1558.0,1567.0,9.0,2222.0,2166.0,2077.0,2104.0,1919.0,10267300.0,94361.0,108.8,18251.0,177.75851489680832,1,1,2021-04-01
Western Cape,Worcester,Common Assault,1676.0,1490.0,1153.0,1053.0,1080.0,1193.0,1427.0,1409.0,1589.0,1737.0,1543.0,5822734.0,129462.0,45.0,15350.0,263.62186560471423,1,1,2021-05-01
Western Cape,Mitchells Plain,Shoplifting,1674.0,1901.0,1987.0,1888.0,2018.0,1475.0,1720.0,1577.0,1425.0,852.0,782.0,5822734.0,129462.0,45.0,17299.0,297.09411420820527,1,1,2021-06-01
Gauteng,Mamelodi,Common Assault,1672.0,1392.0,749.0,766.0,728.0,560.0,460.0,423.0,409.0,376.0,346.0,12272263.0,18178.0,675.1,7881.0,64.2179848981398,1,1,2021-07-01
Gauteng,Booysens,Robbery With Aggravating Circumstances,1670.0,1782.0,1526.0,1274.0,1206.0,1006.0,781.0,495.0,634.0,702.0,668.0,12272263.0,18178.0,675.1,11744.0,95.69547197611395,1,1,2021-08-01
Western Cape,Mitchells Plain,Malicious Damage To Property,1651.0,1845.0,1747.0,1572.0,1647.0,1509.0,1524.0,1533.0,1406.0,1363.0,1308.0,5822734.0,129462.0,45.0,17105.0,293.76234600447145,1,1,2021-09-01
Gauteng,Honeydew,Burglary At Residential Premises,1639.0,1588.0,1790.0,2125.0,2102.0,1923.0,1700.0,2028.0,1753.0,1815.0,1530.0,12272263.0,18178.0,675.1,19993.0,162.91208882990855,1,1,2021-10-01
Gauteng,Jhb Central,Shoplifting,1623.0,1408.0,1333.0,1618.0,1749.0,1697.0,1474.0,1469.0,1514.0,1422.0,1372.0,12272263.0,18178.0,675.1,16679.0,135.9081043162129,1,1,2021-11-01
Western Cape,Woodstock,All Theft Not Mentioned Elsewhere,1609.0,1588.0,1600.0,1710.0,1417.0,1370.0,1385.0,1173.0,1290.0,1341.0,1263.0,5822734.0,129462.0,45.0,15746.0,270.4227945154286,1,1,2021-12-01
