ds,yhat,yhat_lower,yhat_upper
2022-06-30,238.78007117911017,35.3570012826295,425.6547741107094
2022-07-31,124.4741027529294,-62.64381323790855,324.1408071113981
2022-08-31,115.88771203387621,-77.39070045806181,307.636866218447
2022-09-30,126.44652531450853,-56.76489646539599,326.666487272176
2022-10-31,183.90475706249293,-14.822338720601286,364.2582174375152
2022-11-30,165.60692942592598,-37.79066875335662,363.11522720982384
2022-12-31,198.39468618098255,12.664291890411187,385.9684074408219
2023-01-31,299.6706498953498,114.19965635348372,493.6981930880346
2023-02-28,77.47470833169419,-121.07172519495354,252.3553302103653
2023-03-31,172.67436726740792,-21.821861868508442,357.14140076033544
2023-04-30,223.02516896635228,22.29845795564719,416.9348220889865
2023-05-31,128.77568560841195,-64.94416194011883,312.48450397064227
2023-06-30,246.45451348873354,48.098551374204014,437.1401898191746
